Size_MB,Lifetime
91.875,2
735,1488
4.5,2
93.75,2
91.875,3
91.875,2
93.75,1480
93.75,2
93.75,3
0.246094,2
93.75,3
93.75,2
0.246094,1477
0.246094,2
93.75,1473
93.75,4
93.75,2
93.75,1471
93.75,3
0.246094,2
93.75,2
0.246094,2
0.246094,1468
0.246094,2
0.246094,1464
0.246094,2
0.246094,3
93.75,1462
0.246094,2
93.75,1461
93.75,9
93.75,2
93.75,2
93.75,5
93.75,2
93.75,1450
93.75,4
93.75,2
281.25,2
93.75,3
1.6875,3
93.75,1444
281.25,4
281.25,2
73.2422,1440
93.75,4
93.75,2
73.2422,1437
73.2422,5
73.2422,2
73.2422,1435
73.2422,3
0.5625,1430
73.2422,3
93.75,8
93.75,2
93.75,3
0.5625,4
93.75,2
93.75,4
93.75,2
93.75,1422
93.75,38
93.75,2
0.246094,2
93.75,3
93.75,2
0.246094,1419
0.246094,2
93.75,1415
93.75,4
93.75,2
93.75,1413
93.75,3
0.246094,2
93.75,2
0.246094,2
0.246094,1410
0.246094,2
0.246094,1406
0.246094,2
0.246094,3
93.75,1404
0.246094,2
93.75,1403
93.75,9
93.75,2
93.75,2
93.75,5
93.75,2
93.75,1392
93.75,4
93.75,2
375,2
93.75,3
2.25,3
375,1380
375,4
375,2
375,1384
375,5
375,2
375,2
375,3
375,1376
375,3
375,2
375,1373
375,9
375,2
375,1368
375,5
375,2
93.75,2
375,4
2.25,3
93.75,2
93.75,4
93.75,2
93.75,1360
93.75,41
93.75,2
0.246094,2
93.75,3
93.75,2
0.246094,1357
0.246094,2
93.75,1353
93.75,4
93.75,2
93.75,1351
93.75,3
0.246094,2
93.75,2
0.246094,2
0.246094,1348
0.246094,2
0.246094,1344
0.246094,2
0.246094,3
93.75,1342
0.246094,2
93.75,1341
93.75,9
93.75,2
93.75,2
93.75,5
93.75,2
93.75,1330
93.75,4
93.75,2
281.25,2
93.75,3
1.6875,3
93.75,1324
281.25,4
281.25,2
73.2422,1320
93.75,4
93.75,2
73.2422,1317
73.2422,5
73.2422,2
73.2422,1315
73.2422,3
0.5625,1310
73.2422,3
93.75,8
93.75,2
93.75,3
0.5625,4
93.75,2
93.75,4
93.75,2
93.75,1302
93.75,38
93.75,2
0.246094,2
93.75,3
93.75,2
0.246094,1299
0.246094,2
93.75,1295
93.75,4
93.75,2
93.75,1293
93.75,3
0.246094,2
93.75,2
0.246094,2
0.246094,1290
0.246094,2
0.246094,1286
0.246094,2
0.246094,3
93.75,1284
0.246094,2
93.75,1283
93.75,9
93.75,2
93.75,2
93.75,5
93.75,2
93.75,1272
93.75,4
93.75,2
375,2
93.75,3
2.25,3
375,1260
375,4
375,2
375,1264
375,5
375,2
375,2
375,3
375,1256
375,3
375,2
375,1253
375,9
375,2
375,1248
375,5
375,2
93.75,2
375,4
2.25,3
93.75,2
93.75,4
93.75,2
93.75,1240
93.75,41
93.75,2
0.246094,2
93.75,3
93.75,2
0.246094,1237
0.246094,2
93.75,1233
93.75,4
93.75,2
93.75,1231
93.75,3
0.246094,2
93.75,2
0.246094,2
0.246094,1228
0.246094,2
0.246094,1224
0.246094,2
0.246094,3
93.75,1222
0.246094,2
93.75,1221
93.75,9
93.75,2
93.75,2
93.75,5
93.75,2
93.75,1210
93.75,4
93.75,2
281.25,2
93.75,3
1.6875,3
93.75,1204
281.25,4
281.25,2
73.2422,1200
93.75,4
93.75,2
73.2422,1197
73.2422,5
73.2422,2
73.2422,1195
73.2422,3
0.5625,1190
73.2422,3
93.75,8
93.75,2
93.75,3
0.5625,4
93.75,2
93.75,4
93.75,2
93.75,1182
93.75,38
93.75,2
0.246094,2
93.75,3
93.75,2
0.246094,1179
0.246094,2
93.75,1175
93.75,4
93.75,2
93.75,1173
93.75,3
0.246094,2
93.75,2
0.246094,2
0.246094,1170
0.246094,2
0.246094,1166
0.246094,2
0.246094,3
93.75,1164
0.246094,2
93.75,1163
93.75,9
93.75,2
93.75,2
93.75,5
93.75,2
93.75,1152
93.75,4
93.75,2
375,2
93.75,3
2.25,3
375,1140
375,4
375,2
375,1144
375,5
375,2
375,2
375,3
375,1136
375,3
375,2
375,1133
375,9
375,2
375,1128
375,5
375,2
93.75,2
375,4
2.25,3
93.75,2
93.75,4
93.75,2
93.75,1120
93.75,41
93.75,2
0.246094,2
93.75,3
93.75,2
0.246094,1117
0.246094,2
93.75,1113
93.75,4
93.75,2
93.75,1111
93.75,3
0.246094,2
93.75,2
0.246094,2
0.246094,1108
0.246094,2
0.246094,1104
0.246094,2
0.246094,3
93.75,1102
0.246094,2
93.75,1101
93.75,9
93.75,2
93.75,2
93.75,5
93.75,2
93.75,1090
93.75,4
93.75,2
281.25,2
93.75,3
1.6875,3
93.75,1084
281.25,4
281.25,2
73.2422,1080
93.75,4
93.75,2
73.2422,1077
73.2422,5
73.2422,2
73.2422,1075
73.2422,3
0.5625,1070
73.2422,3
93.75,8
93.75,2
93.75,3
0.5625,4
93.75,2
93.75,4
93.75,2
93.75,1062
93.75,38
93.75,2
0.246094,2
93.75,3
93.75,2
0.246094,1059
0.246094,2
93.75,1055
93.75,4
93.75,2
93.75,1053
93.75,3
0.246094,2
93.75,2
0.246094,2
0.246094,1050
0.246094,2
0.246094,1046
0.246094,2
0.246094,3
93.75,1044
0.246094,2
93.75,1043
93.75,9
93.75,2
93.75,2
93.75,5
93.75,2
93.75,1032
93.75,4
93.75,2
375,2
93.75,3
2.25,3
375,1020
375,4
375,2
375,1024
375,5
375,2
375,2
375,3
375,1016
375,3
375,2
375,1013
375,9
375,2
375,1008
375,5
375,2
93.75,2
375,4
2.25,3
93.75,2
93.75,4
93.75,2
93.75,1000
93.75,41
93.75,2
0.246094,2
93.75,3
93.75,2
0.246094,997
0.246094,2
93.75,993
93.75,4
93.75,2
93.75,991
93.75,3
0.246094,2
93.75,2
0.246094,2
0.246094,988
0.246094,2
0.246094,984
0.246094,2
0.246094,3
93.75,982
0.246094,2
93.75,981
93.75,9
93.75,2
93.75,2
93.75,5
93.75,2
93.75,970
93.75,4
93.75,2
281.25,2
93.75,3
1.6875,3
93.75,964
281.25,4
281.25,2
73.2422,960
93.75,4
93.75,2
73.2422,957
73.2422,5
73.2422,2
73.2422,955
73.2422,3
0.5625,950
73.2422,3
93.75,8
93.75,2
93.75,3
0.5625,4
93.75,2
93.75,4
93.75,2
93.75,942
93.75,38
93.75,2
0.246094,2
93.75,3
93.75,2
0.246094,939
0.246094,2
93.75,935
93.75,4
93.75,2
93.75,933
93.75,3
0.246094,2
93.75,2
0.246094,2
0.246094,930
0.246094,2
0.246094,926
0.246094,2
0.246094,3
93.75,924
0.246094,2
93.75,923
93.75,9
93.75,2
93.75,2
93.75,5
93.75,2
93.75,912
93.75,4
93.75,2
375,2
93.75,3
2.25,3
375,900
375,4
375,2
375,904
375,5
375,2
375,2
375,3
375,896
375,3
375,2
375,893
375,9
375,2
375,888
375,5
375,2
93.75,2
375,4
2.25,3
93.75,2
93.75,4
93.75,2
93.75,880
93.75,41
93.75,2
0.246094,2
93.75,3
93.75,2
0.246094,877
0.246094,2
93.75,873
93.75,4
93.75,2
93.75,871
93.75,3
0.246094,2
93.75,2
0.246094,2
0.246094,868
0.246094,2
0.246094,864
0.246094,2
0.246094,3
93.75,862
0.246094,2
93.75,861
93.75,9
93.75,2
93.75,2
93.75,5
93.75,2
93.75,850
93.75,4
93.75,2
281.25,2
93.75,3
1.6875,3
93.75,844
281.25,4
281.25,2
73.2422,840
93.75,4
93.75,2
73.2422,837
73.2422,5
73.2422,2
73.2422,835
73.2422,3
0.5625,830
73.2422,3
93.75,8
93.75,2
93.75,3
0.5625,4
93.75,2
93.75,4
93.75,2
93.75,822
93.75,38
93.75,2
0.246094,2
93.75,3
93.75,2
0.246094,819
0.246094,2
93.75,815
93.75,4
93.75,2
93.75,813
93.75,3
0.246094,2
93.75,2
0.246094,2
0.246094,810
0.246094,2
0.246094,806
0.246094,2
0.246094,3
93.75,804
0.246094,2
93.75,803
93.75,9
93.75,2
93.75,2
93.75,5
93.75,2
93.75,792
93.75,4
93.75,2
375,2
93.75,3
2.25,3
375,780
375,4
375,2
375,784
375,5
375,2
375,2
375,3
375,776
375,3
375,2
375,773
375,9
375,2
375,768
375,5
375,2
93.75,2
375,4
2.25,3
93.75,2
93.75,4
93.75,2
93.75,760
93.75,41
93.75,2
0.246094,2
93.75,3
93.75,2
0.246094,757
0.246094,2
93.75,753
93.75,4
93.75,2
93.75,751
93.75,3
0.246094,2
93.75,2
0.246094,2
0.246094,748
0.246094,2
0.246094,744
0.246094,2
0.246094,3
93.75,742
0.246094,2
93.75,741
93.75,9
93.75,2
93.75,2
93.75,5
93.75,2
93.75,730
93.75,4
93.75,2
281.25,2
93.75,3
1.6875,3
93.75,724
281.25,4
281.25,2
73.2422,720
93.75,4
93.75,2
73.2422,717
73.2422,5
73.2422,2
73.2422,715
73.2422,3
0.5625,710
73.2422,3
93.75,8
93.75,2
93.75,3
0.5625,4
93.75,2
93.75,4
93.75,2
93.75,702
93.75,38
93.75,2
0.246094,2
93.75,3
93.75,2
0.246094,699
0.246094,2
93.75,695
93.75,4
93.75,2
93.75,693
93.75,3
0.246094,2
93.75,2
0.246094,2
0.246094,690
0.246094,2
0.246094,686
0.246094,2
0.246094,3
93.75,684
0.246094,2
93.75,683
93.75,9
93.75,2
93.75,2
93.75,5
93.75,2
93.75,672
93.75,4
93.75,2
375,2
93.75,3
2.25,3
375,660
375,4
375,2
375,664
375,5
375,2
375,2
375,3
375,656
375,3
375,2
375,653
375,9
375,2
375,648
375,5
375,2
93.75,2
375,4
2.25,3
93.75,2
93.75,4
93.75,2
93.75,640
93.75,41
93.75,2
0.246094,2
93.75,3
93.75,2
0.246094,637
0.246094,2
93.75,633
93.75,4
93.75,2
93.75,631
93.75,3
0.246094,2
93.75,2
0.246094,2
0.246094,628
0.246094,2
0.246094,624
0.246094,2
0.246094,3
93.75,622
0.246094,2
93.75,621
93.75,9
93.75,2
93.75,2
93.75,5
93.75,2
93.75,610
93.75,4
93.75,2
281.25,2
93.75,3
1.6875,3
93.75,604
281.25,4
281.25,2
73.2422,600
93.75,4
93.75,2
73.2422,597
73.2422,5
73.2422,2
73.2422,595
73.2422,3
0.5625,590
73.2422,3
93.75,8
93.75,2
93.75,3
0.5625,4
93.75,2
93.75,4
93.75,2
93.75,582
93.75,38
93.75,2
0.246094,2
93.75,3
93.75,2
0.246094,579
0.246094,2
93.75,575
93.75,4
93.75,2
93.75,573
93.75,3
0.246094,2
93.75,2
0.246094,2
0.246094,570
0.246094,2
0.246094,566
0.246094,2
0.246094,3
93.75,564
0.246094,2
93.75,563
93.75,9
93.75,2
93.75,2
93.75,5
93.75,2
93.75,552
93.75,4
93.75,2
375,2
93.75,3
2.25,3
375,540
375,4
375,2
375,544
375,5
375,2
375,2
375,3
375,536
375,3
375,2
375,533
375,9
375,2
375,528
375,5
375,2
93.75,2
375,4
2.25,3
93.75,2
93.75,4
93.75,2
93.75,520
93.75,41
93.75,2
0.246094,2
93.75,3
93.75,2
0.246094,517
0.246094,2
93.75,513
93.75,4
93.75,2
93.75,511
93.75,3
0.246094,2
93.75,2
0.246094,2
0.246094,508
0.246094,2
0.246094,504
0.246094,2
0.246094,3
93.75,502
0.246094,2
93.75,501
93.75,9
93.75,2
93.75,2
93.75,5
93.75,2
93.75,490
93.75,4
93.75,2
281.25,2
93.75,3
1.6875,3
93.75,484
281.25,4
281.25,2
73.2422,480
93.75,4
93.75,2
73.2422,477
73.2422,5
73.2422,2
73.2422,475
73.2422,3
0.5625,470
73.2422,3
93.75,8
93.75,2
93.75,3
0.5625,4
93.75,2
93.75,4
93.75,2
93.75,462
93.75,38
93.75,2
0.246094,2
93.75,3
93.75,2
0.246094,459
0.246094,2
93.75,455
93.75,4
93.75,2
93.75,453
93.75,3
0.246094,2
93.75,2
0.246094,2
0.246094,450
0.246094,2
0.246094,446
0.246094,2
0.246094,3
93.75,444
0.246094,2
93.75,443
93.75,9
93.75,2
93.75,2
93.75,5
93.75,2
93.75,432
93.75,4
93.75,2
375,2
93.75,3
2.25,3
375,420
375,4
375,2
375,424
375,5
375,2
375,2
375,3
375,416
375,3
375,2
375,413
375,9
375,2
375,408
375,5
375,2
93.75,2
375,4
2.25,3
93.75,2
93.75,4
93.75,2
93.75,400
93.75,41
93.75,2
0.246094,2
93.75,3
93.75,2
0.246094,397
0.246094,2
93.75,393
93.75,4
93.75,2
93.75,391
93.75,3
0.246094,2
93.75,2
0.246094,2
0.246094,388
0.246094,2
0.246094,384
0.246094,2
0.246094,3
93.75,382
0.246094,2
93.75,381
93.75,9
93.75,2
93.75,2
93.75,5
93.75,2
93.75,370
93.75,4
93.75,2
281.25,2
93.75,3
1.6875,3
93.75,364
281.25,4
281.25,2
73.2422,360
93.75,4
93.75,2
73.2422,357
73.2422,5
73.2422,2
73.2422,355
73.2422,3
0.5625,350
73.2422,3
93.75,8
93.75,2
93.75,3
0.5625,4
93.75,2
93.75,4
93.75,2
93.75,342
93.75,38
93.75,2
0.246094,2
93.75,3
93.75,2
0.246094,339
0.246094,2
93.75,335
93.75,4
93.75,2
93.75,333
93.75,3
0.246094,2
93.75,2
0.246094,2
0.246094,330
0.246094,2
0.246094,326
0.246094,2
0.246094,3
93.75,324
0.246094,2
93.75,323
93.75,9
93.75,2
93.75,2
93.75,5
93.75,2
93.75,312
93.75,4
93.75,2
375,2
93.75,3
2.25,3
375,300
375,4
375,2
375,304
375,5
375,2
375,2
375,3
375,296
375,3
375,2
375,293
375,9
375,2
375,288
375,5
375,2
93.75,2
375,4
2.25,3
93.75,2
93.75,4
93.75,2
93.75,280
93.75,41
93.75,2
0.246094,2
93.75,3
93.75,2
0.246094,277
0.246094,2
93.75,273
93.75,4
93.75,2
93.75,271
93.75,3
0.246094,2
93.75,2
0.246094,2
0.246094,268
0.246094,2
0.246094,264
0.246094,2
0.246094,3
93.75,262
0.246094,2
93.75,261
93.75,9
93.75,2
93.75,2
93.75,5
93.75,2
93.75,250
93.75,4
93.75,2
281.25,2
93.75,3
1.6875,3
93.75,244
281.25,4
281.25,2
73.2422,240
93.75,4
93.75,2
73.2422,237
73.2422,5
73.2422,2
73.2422,235
73.2422,3
0.5625,230
73.2422,3
93.75,8
93.75,2
93.75,3
0.5625,4
93.75,2
93.75,4
93.75,2
93.75,222
93.75,38
93.75,2
0.246094,2
93.75,3
93.75,2
0.246094,219
0.246094,2
93.75,215
93.75,4
93.75,2
93.75,213
93.75,3
0.246094,2
93.75,2
0.246094,2
0.246094,210
0.246094,2
0.246094,206
0.246094,2
0.246094,3
93.75,204
0.246094,2
93.75,203
93.75,9
93.75,2
93.75,2
93.75,5
93.75,2
93.75,192
93.75,4
93.75,2
375,2
93.75,3
2.25,3
375,180
375,4
375,2
375,184
375,5
375,2
375,2
375,3
375,176
375,3
375,2
375,173
