Size_MB,Lifetime
36.75,2
294,1488
4.5,2
37.5,2
36.75,3
36.75,2
37.5,1480
37.5,2
37.5,3
0.0976562,2
37.5,3
37.5,2
0.0976562,1477
0.0976562,2
37.5,1473
37.5,4
37.5,2
37.5,1471
37.5,3
0.0976562,2
37.5,2
0.0976562,2
0.0976562,1468
0.0976562,2
0.0976562,1464
0.0976562,2
0.0976562,3
37.5,1462
0.0976562,2
37.5,1461
37.5,9
37.5,2
37.5,2
37.5,5
37.5,2
37.5,1450
37.5,4
37.5,2
112.5,2
37.5,3
1.6875,3
37.5,1444
112.5,4
112.5,2
29.2969,1440
37.5,4
37.5,2
29.2969,1437
29.2969,5
29.2969,2
29.2969,1435
29.2969,3
0.5625,1430
29.2969,3
37.5,8
37.5,2
37.5,3
0.5625,4
37.5,2
37.5,4
37.5,2
37.5,1422
37.5,38
37.5,2
0.0976562,2
37.5,3
37.5,2
0.0976562,1419
0.0976562,2
37.5,1415
37.5,4
37.5,2
37.5,1413
37.5,3
0.0976562,2
37.5,2
0.0976562,2
0.0976562,1410
0.0976562,2
0.0976562,1406
0.0976562,2
0.0976562,3
37.5,1404
0.0976562,2
37.5,1403
37.5,9
37.5,2
37.5,2
37.5,5
37.5,2
37.5,1392
37.5,4
37.5,2
150,2
37.5,3
2.25,3
150,1380
150,4
150,2
150,1384
150,5
150,2
150,2
150,3
150,1376
150,3
150,2
150,1373
150,9
150,2
150,1368
150,5
150,2
37.5,2
150,4
2.25,3
37.5,2
37.5,4
37.5,2
37.5,1360
37.5,41
37.5,2
0.0976562,2
37.5,3
37.5,2
0.0976562,1357
0.0976562,2
37.5,1353
37.5,4
37.5,2
37.5,1351
37.5,3
0.0976562,2
37.5,2
0.0976562,2
0.0976562,1348
0.0976562,2
0.0976562,1344
0.0976562,2
0.0976562,3
37.5,1342
0.0976562,2
37.5,1341
37.5,9
37.5,2
37.5,2
37.5,5
37.5,2
37.5,1330
37.5,4
37.5,2
112.5,2
37.5,3
1.6875,3
37.5,1324
112.5,4
112.5,2
29.2969,1320
37.5,4
37.5,2
29.2969,1317
29.2969,5
29.2969,2
29.2969,1315
29.2969,3
0.5625,1310
29.2969,3
37.5,8
37.5,2
37.5,3
0.5625,4
37.5,2
37.5,4
37.5,2
37.5,1302
37.5,38
37.5,2
0.0976562,2
37.5,3
37.5,2
0.0976562,1299
0.0976562,2
37.5,1295
37.5,4
37.5,2
37.5,1293
37.5,3
0.0976562,2
37.5,2
0.0976562,2
0.0976562,1290
0.0976562,2
0.0976562,1286
0.0976562,2
0.0976562,3
37.5,1284
0.0976562,2
37.5,1283
37.5,9
37.5,2
37.5,2
37.5,5
37.5,2
37.5,1272
37.5,4
37.5,2
150,2
37.5,3
2.25,3
150,1260
150,4
150,2
150,1264
150,5
150,2
150,2
150,3
150,1256
150,3
150,2
150,1253
150,9
150,2
150,1248
150,5
150,2
37.5,2
150,4
2.25,3
37.5,2
37.5,4
37.5,2
37.5,1240
37.5,41
37.5,2
0.0976562,2
37.5,3
37.5,2
0.0976562,1237
0.0976562,2
37.5,1233
37.5,4
37.5,2
37.5,1231
37.5,3
0.0976562,2
37.5,2
0.0976562,2
0.0976562,1228
0.0976562,2
0.0976562,1224
0.0976562,2
0.0976562,3
37.5,1222
0.0976562,2
37.5,1221
37.5,9
37.5,2
37.5,2
37.5,5
37.5,2
37.5,1210
37.5,4
37.5,2
112.5,2
37.5,3
1.6875,3
37.5,1204
112.5,4
112.5,2
29.2969,1200
37.5,4
37.5,2
29.2969,1197
29.2969,5
29.2969,2
29.2969,1195
29.2969,3
0.5625,1190
29.2969,3
37.5,8
37.5,2
37.5,3
0.5625,4
37.5,2
37.5,4
37.5,2
37.5,1182
37.5,38
37.5,2
0.0976562,2
37.5,3
37.5,2
0.0976562,1179
0.0976562,2
37.5,1175
37.5,4
37.5,2
37.5,1173
37.5,3
0.0976562,2
37.5,2
0.0976562,2
0.0976562,1170
0.0976562,2
0.0976562,1166
0.0976562,2
0.0976562,3
37.5,1164
0.0976562,2
37.5,1163
37.5,9
37.5,2
37.5,2
37.5,5
37.5,2
37.5,1152
37.5,4
37.5,2
150,2
37.5,3
2.25,3
150,1140
150,4
150,2
150,1144
150,5
150,2
150,2
150,3
150,1136
150,3
150,2
150,1133
150,9
150,2
150,1128
150,5
150,2
37.5,2
150,4
2.25,3
37.5,2
