Size_MB,Lifetime
588,2317
3136,2
0.0078125,3
588,1
3136,2312
3136,4
0.00390625,2
0.00390625,1
0.00390625,1
3136,2313
0.00390625,2313
0.00390625,1
0.00390625,1
3136,1
0.00390625,1
3136,2
3136,2
0.140625,3
3136,3
3136,2303
3136,4
0.00390625,2
0.00390625,1
0.00390625,1
3136,2304
0.00390625,2304
0.00390625,1
0.00390625,1
3136,1
0.00390625,1
3136,2
6272,2
0.28125,3
3136,3
6272,2294
6272,4
0.00390625,2
0.00390625,1
0.00390625,1
6272,2295
0.00390625,2295
0.00390625,1
0.00390625,1
6272,1
0.00390625,1
6272,2
1568,2287
6272,2
1568,2
0.0625,3
1568,4
1568,2282
1568,4
0.00390625,2
0.00390625,1
0.00390625,1
1568,2283
0.00390625,2283
0.00390625,1
0.00390625,1
1568,1
0.00390625,1
1568,2
3136,2
1.125,3
1568,3
3136,2273
3136,4
0.00390625,2
0.00390625,1
0.00390625,1
3136,2274
0.00390625,2274
0.00390625,1
0.00390625,1
3136,1
0.00390625,1
3136,2
3136,2
0.25,3
3136,3
3136,2264
3136,4
0.00390625,2
0.00390625,1
0.00390625,1
3136,2265
0.00390625,2265
0.00390625,1
0.00390625,1
3136,1
0.00390625,1
1,2260
3136,2
0.0625,2258
0.015625,3
1,3
0.0625,3
1,2252
0.015625,3
0.0625,3
1,3
3136,4
1,2
3136,2
0.125,3
1568,30
3136,2
3136,4
0.00390625,2
0.00390625,1
0.00390625,1
3136,2242
0.00390625,2242
0.00390625,1
0.00390625,1
3136,1
0.00390625,1
3136,2240
3136,7
1568,2
0.125,3
3136,4
1568,2230
1568,4
0.00390625,2
0.00390625,1
0.00390625,1
1568,2231
0.00390625,2231
0.00390625,1
0.00390625,1
1568,1
0.00390625,1
1568,2
3136,2
1.125,3
1568,3
3136,2221
3136,4
0.00390625,2
0.00390625,1
0.00390625,1
3136,2222
0.00390625,2222
0.00390625,1
0.00390625,1
3136,1
0.00390625,1
3136,2
3136,2
0.25,3
3136,3
3136,2212
