Size_MB,Lifetime
147,2317
784,2
0.0078125,3
147,1
784,2312
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,2313
0.00390625,2313
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2
784,2
0.140625,3
784,3
784,2303
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,2304
0.00390625,2304
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2
1568,2
0.28125,3
784,3
1568,2294
1568,4
0.00390625,2
0.00390625,1
0.00390625,1
1568,2295
0.00390625,2295
0.00390625,1
0.00390625,1
1568,1
0.00390625,1
1568,2
392,2287
1568,2
392,2
0.0625,3
392,4
392,2282
392,4
0.00390625,2
0.00390625,1
0.00390625,1
392,2283
0.00390625,2283
0.00390625,1
0.00390625,1
392,1
0.00390625,1
392,2
784,2
1.125,3
392,3
784,2273
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,2274
0.00390625,2274
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2
784,2
0.25,3
784,3
784,2264
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,2265
0.00390625,2265
0.00390625,1
0.00390625,1
784,1
0.00390625,1
0.25,2260
784,2
0.015625,2258
0.015625,3
0.25,3
0.015625,3
0.25,2252
0.015625,3
0.015625,3
0.25,3
784,4
0.25,2
784,2
0.125,3
392,30
784,2
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,2242
0.00390625,2242
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2240
784,7
392,2
0.125,3
784,4
392,2230
392,4
0.00390625,2
0.00390625,1
0.00390625,1
392,2231
0.00390625,2231
0.00390625,1
0.00390625,1
392,1
0.00390625,1
392,2
784,2
1.125,3
392,3
784,2221
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,2222
0.00390625,2222
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2
784,2
0.25,3
784,3
784,2212
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,2213
0.00390625,2213
0.00390625,1
0.00390625,1
784,1
0.00390625,1
0.25,2208
784,2
0.015625,2206
0.015625,3
0.25,3
0.015625,3
0.25,2200
0.015625,3
0.015625,3
0.25,3
784,2
0.25,2
784,2195
784,29
392,2
0.125,3
784,4
392,2185
392,4
0.00390625,2
0.00390625,1
0.00390625,1
392,2186
0.00390625,2186
0.00390625,1
0.00390625,1
392,1
0.00390625,1
392,2
784,2
1.125,3
392,3
784,2176
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,2177
0.00390625,2177
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2
784,2
0.25,3
784,3
784,2167
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,2168
0.00390625,2168
0.00390625,1
0.00390625,1
784,1
0.00390625,1
0.25,2163
784,2
0.015625,2161
0.015625,3
0.25,3
0.015625,3
0.25,2155
0.015625,3
0.015625,3
0.25,3
784,2
0.25,2
784,2150
784,29
784,2
0.25,3
784,4
784,2140
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,2141
0.00390625,2141
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2
392,2
4.5,3
784,3
392,2131
392,4
0.00390625,2
0.00390625,1
0.00390625,1
392,2132
0.00390625,2132
0.00390625,1
0.00390625,1
392,1
0.00390625,1
392,2
392,2
1,3
392,3
392,2122
392,4
0.00390625,2
0.00390625,1
0.00390625,1
392,2123
0.00390625,2123
0.00390625,1
0.00390625,1
392,1
0.00390625,1
0.5,2118
392,2
0.03125,2116
0.0625,3
0.5,3
0.03125,3
0.5,2110
0.0625,3
0.03125,3
0.5,3
392,4
0.5,2
392,2
4.5,3
784,30
392,2
392,4
0.00390625,2
0.00390625,1
0.00390625,1
392,2100
0.00390625,2100
0.00390625,1
0.00390625,1
392,1
0.00390625,1
392,2098
392,7
196,2
0.5,3
392,4
196,2088
196,4
0.00390625,2
0.00390625,1
0.00390625,1
196,2089
0.00390625,2089
0.00390625,1
0.00390625,1
196,1
0.00390625,1
196,2
392,2
4.5,3
196,3
392,2079
392,4
0.00390625,2
0.00390625,1
0.00390625,1
392,2080
0.00390625,2080
0.00390625,1
0.00390625,1
392,1
0.00390625,1
392,2
392,2
1,3
392,3
392,2070
392,4
0.00390625,2
0.00390625,1
0.00390625,1
392,2071
0.00390625,2071
0.00390625,1
0.00390625,1
392,1
0.00390625,1
0.5,2066
392,2
0.03125,2064
0.0625,3
0.5,3
0.03125,3
0.5,2058
0.0625,3
0.03125,3
0.5,3
392,2
0.5,2
392,2053
392,29
196,2
0.5,3
392,4
