Size_MB,Lifetime
55.125,2
441,1488
4.5,2
56.25,2
55.125,3
55.125,2
56.25,1480
56.25,2
56.25,3
0.148438,2
56.25,3
56.25,2
0.148438,1477
0.148438,2
56.25,1473
56.25,4
56.25,2
56.25,1471
56.25,3
0.148438,2
56.25,2
0.148438,2
0.148438,1468
0.148438,2
0.148438,1464
0.148438,2
0.148438,3
56.25,1462
0.148438,2
56.25,1461
56.25,9
56.25,2
56.25,2
56.25,5
56.25,2
56.25,1450
56.25,4
56.25,2
168.75,2
56.25,3
1.6875,3
56.25,1444
168.75,4
168.75,2
43.9453,1440
56.25,4
56.25,2
43.9453,1437
43.9453,5
43.9453,2
43.9453,1435
43.9453,3
0.5625,1430
43.9453,3
56.25,8
56.25,2
56.25,3
0.5625,4
56.25,2
56.25,4
56.25,2
56.25,1422
56.25,38
56.25,2
0.148438,2
56.25,3
56.25,2
0.148438,1419
0.148438,2
56.25,1415
56.25,4
56.25,2
56.25,1413
56.25,3
0.148438,2
56.25,2
0.148438,2
0.148438,1410
0.148438,2
0.148438,1406
0.148438,2
0.148438,3
56.25,1404
0.148438,2
56.25,1403
56.25,9
56.25,2
56.25,2
56.25,5
56.25,2
56.25,1392
56.25,4
56.25,2
225,2
56.25,3
2.25,3
225,1380
225,4
225,2
225,1384
225,5
225,2
225,2
225,3
225,1376
225,3
225,2
225,1373
225,9
225,2
225,1368
225,5
225,2
56.25,2
225,4
2.25,3
56.25,2
56.25,4
56.25,2
56.25,1360
56.25,41
56.25,2
0.148438,2
56.25,3
56.25,2
0.148438,1357
0.148438,2
56.25,1353
56.25,4
56.25,2
56.25,1351
56.25,3
0.148438,2
56.25,2
0.148438,2
0.148438,1348
0.148438,2
0.148438,1344
0.148438,2
0.148438,3
56.25,1342
0.148438,2
56.25,1341
56.25,9
56.25,2
56.25,2
56.25,5
56.25,2
56.25,1330
56.25,4
56.25,2
168.75,2
56.25,3
1.6875,3
56.25,1324
168.75,4
168.75,2
43.9453,1320
56.25,4
56.25,2
43.9453,1317
43.9453,5
43.9453,2
43.9453,1315
43.9453,3
0.5625,1310
43.9453,3
56.25,8
56.25,2
56.25,3
0.5625,4
56.25,2
56.25,4
56.25,2
56.25,1302
56.25,38
56.25,2
0.148438,2
56.25,3
56.25,2
0.148438,1299
0.148438,2
56.25,1295
56.25,4
56.25,2
56.25,1293
56.25,3
0.148438,2
56.25,2
0.148438,2
0.148438,1290
0.148438,2
0.148438,1286
0.148438,2
0.148438,3
56.25,1284
0.148438,2
56.25,1283
56.25,9
56.25,2
56.25,2
56.25,5
56.25,2
56.25,1272
56.25,4
56.25,2
225,2
56.25,3
2.25,3
225,1260
225,4
225,2
225,1264
225,5
225,2
225,2
225,3
225,1256
225,3
225,2
225,1253
225,9
225,2
225,1248
225,5
225,2
56.25,2
225,4
2.25,3
56.25,2
56.25,4
56.25,2
56.25,1240
56.25,41
56.25,2
0.148438,2
56.25,3
56.25,2
0.148438,1237
0.148438,2
56.25,1233
56.25,4
56.25,2
56.25,1231
56.25,3
0.148438,2
56.25,2
0.148438,2
0.148438,1228
0.148438,2
0.148438,1224
0.148438,2
0.148438,3
56.25,1222
0.148438,2
56.25,1221
56.25,9
