Size_MB,Lifetime
441,2317
2352,2
0.0078125,3
441,1
2352,2312
2352,4
0.00390625,2
0.00390625,1
0.00390625,1
2352,2313
0.00390625,2313
0.00390625,1
0.00390625,1
2352,1
0.00390625,1
2352,2
2352,2
0.140625,3
2352,3
2352,2303
2352,4
0.00390625,2
0.00390625,1
0.00390625,1
2352,2304
0.00390625,2304
0.00390625,1
0.00390625,1
2352,1
0.00390625,1
2352,2
4704,2
0.28125,3
2352,3
4704,2294
4704,4
0.00390625,2
0.00390625,1
0.00390625,1
4704,2295
0.00390625,2295
0.00390625,1
0.00390625,1
4704,1
0.00390625,1
4704,2
1176,2287
4704,2
1176,2
0.0625,3
1176,4
1176,2282
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,2283
0.00390625,2283
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1176,2
2352,2
1.125,3
1176,3
2352,2273
2352,4
0.00390625,2
0.00390625,1
0.00390625,1
2352,2274
0.00390625,2274
0.00390625,1
0.00390625,1
2352,1
0.00390625,1
2352,2
2352,2
0.25,3
2352,3
2352,2264
2352,4
0.00390625,2
0.00390625,1
0.00390625,1
2352,2265
0.00390625,2265
0.00390625,1
0.00390625,1
2352,1
0.00390625,1
0.75,2260
2352,2
0.046875,2258
0.015625,3
0.75,3
0.046875,3
0.75,2252
0.015625,3
0.046875,3
0.75,3
2352,4
0.75,2
2352,2
0.125,3
1176,30
2352,2
2352,4
0.00390625,2
0.00390625,1
0.00390625,1
2352,2242
0.00390625,2242
0.00390625,1
0.00390625,1
2352,1
0.00390625,1
2352,2240
2352,7
1176,2
0.125,3
2352,4
1176,2230
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,2231
0.00390625,2231
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1176,2
2352,2
1.125,3
1176,3
2352,2221
2352,4
0.00390625,2
0.00390625,1
0.00390625,1
2352,2222
0.00390625,2222
0.00390625,1
0.00390625,1
2352,1
0.00390625,1
2352,2
2352,2
0.25,3
2352,3
2352,2212
2352,4
0.00390625,2
0.00390625,1
0.00390625,1
2352,2213
0.00390625,2213
0.00390625,1
0.00390625,1
2352,1
0.00390625,1
0.75,2208
2352,2
0.046875,2206
0.015625,3
0.75,3
0.046875,3
0.75,2200
0.015625,3
0.046875,3
0.75,3
2352,2
0.75,2
2352,2195
2352,29
1176,2
0.125,3
2352,4
1176,2185
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,2186
0.00390625,2186
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1176,2
2352,2
1.125,3
1176,3
2352,2176
2352,4
0.00390625,2
0.00390625,1
0.00390625,1
2352,2177
0.00390625,2177
0.00390625,1
0.00390625,1
2352,1
0.00390625,1
2352,2
2352,2
0.25,3
2352,3
2352,2167
2352,4
0.00390625,2
0.00390625,1
0.00390625,1
2352,2168
0.00390625,2168
0.00390625,1
0.00390625,1
2352,1
0.00390625,1
0.75,2163
2352,2
0.046875,2161
0.015625,3
0.75,3
0.046875,3
0.75,2155
0.015625,3
0.046875,3
0.75,3
2352,2
0.75,2
2352,2150
2352,29
2352,2
0.25,3
2352,4
2352,2140
2352,4
0.00390625,2
0.00390625,1
0.00390625,1
2352,2141
0.00390625,2141
0.00390625,1
0.00390625,1
2352,1
0.00390625,1
2352,2
1176,2
4.5,3
2352,3
1176,2131
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,2132
0.00390625,2132
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1176,2
1176,2
1,3
1176,3
1176,2122
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,2123
0.00390625,2123
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1.5,2118
1176,2
0.09375,2116
0.0625,3
1.5,3
0.09375,3
1.5,2110
0.0625,3
0.09375,3
1.5,3
1176,4
1.5,2
1176,2
4.5,3
2352,30
1176,2
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,2100
0.00390625,2100
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1176,2098
1176,7
588,2
0.5,3
1176,4
588,2088
588,4
0.00390625,2
0.00390625,1
0.00390625,1
588,2089
0.00390625,2089
0.00390625,1
0.00390625,1
588,1
0.00390625,1
588,2
1176,2
4.5,3
588,3
1176,2079
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,2080
0.00390625,2080
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1176,2
1176,2
1,3
1176,3
1176,2070
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,2071
0.00390625,2071
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1.5,2066
1176,2
0.09375,2064
0.0625,3
1.5,3
0.09375,3
1.5,2058
0.0625,3
0.09375,3
1.5,3
1176,2
1.5,2
1176,2053
1176,29
588,2
0.5,3
1176,4
588,2043
588,4
0.00390625,2
0.00390625,1
0.00390625,1
588,2044
0.00390625,2044
0.00390625,1
0.00390625,1
588,1
0.00390625,1
588,2
1176,2
4.5,3
588,3
1176,2034
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,2035
0.00390625,2035
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1176,2
1176,2
1,3
1176,3
1176,2025
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,2026
0.00390625,2026
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1.5,2021
1176,2
0.09375,2019
0.0625,3
1.5,3
0.09375,3
1.5,2013
0.0625,3
0.09375,3
1.5,3
1176,2
1.5,2
1176,2008
1176,29
588,2
0.5,3
1176,4
588,1998
588,4
0.00390625,2
0.00390625,1
0.00390625,1
588,1999
0.00390625,1999
0.00390625,1
0.00390625,1
588,1
0.00390625,1
588,2
1176,2
4.5,3
588,3
1176,1989
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,1990
0.00390625,1990
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1176,2
1176,2
1,3
1176,3
1176,1980
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,1981
0.00390625,1981
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1.5,1976
1176,2
0.09375,1974
0.0625,3
1.5,3
0.09375,3
1.5,1968
0.0625,3
0.09375,3
1.5,3
1176,2
1.5,2
1176,1963
1176,29
588,2
0.5,3
1176,4
588,1953
588,4
0.00390625,2
0.00390625,1
0.00390625,1
588,1954
0.00390625,1954
0.00390625,1
0.00390625,1
588,1
0.00390625,1
588,2
1176,2
4.5,3
588,3
1176,1944
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,1945
0.00390625,1945
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1176,2
1176,2
1,3
1176,3
1176,1935
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,1936
0.00390625,1936
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1.5,1931
1176,2
0.09375,1929
0.0625,3
1.5,3
0.09375,3
1.5,1923
0.0625,3
0.09375,3
1.5,3
1176,2
1.5,2
1176,1918
1176,29
588,2
0.5,3
1176,4
588,1908
588,4
0.00390625,2
0.00390625,1
0.00390625,1
588,1909
0.00390625,1909
0.00390625,1
0.00390625,1
588,1
0.00390625,1
588,2
1176,2
4.5,3
588,3
1176,1899
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,1900
0.00390625,1900
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1176,2
1176,2
1,3
1176,3
1176,1890
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,1891
0.00390625,1891
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1.5,1886
1176,2
0.09375,1884
0.0625,3
1.5,3
0.09375,3
1.5,1878
0.0625,3
0.09375,3
1.5,3
1176,2
1.5,2
1176,1873
1176,29
588,2
0.5,3
1176,4
588,1863
588,4
0.00390625,2
0.00390625,1
0.00390625,1
588,1864
0.00390625,1864
0.00390625,1
0.00390625,1
588,1
0.00390625,1
588,2
1176,2
4.5,3
588,3
1176,1854
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,1855
0.00390625,1855
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1176,2
1176,2
1,3
1176,3
1176,1845
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,1846
0.00390625,1846
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1.5,1841
1176,2
0.09375,1839
0.0625,3
1.5,3
0.09375,3
1.5,1833
0.0625,3
0.09375,3
1.5,3
1176,2
1.5,2
1176,1828
1176,29
588,2
0.5,3
1176,4
588,1818
588,4
0.00390625,2
0.00390625,1
0.00390625,1
588,1819
0.00390625,1819
0.00390625,1
0.00390625,1
588,1
0.00390625,1
588,2
1176,2
4.5,3
588,3
1176,1809
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,1810
0.00390625,1810
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1176,2
1176,2
1,3
1176,3
1176,1800
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,1801
0.00390625,1801
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1.5,1796
1176,2
0.09375,1794
0.0625,3
1.5,3
0.09375,3
1.5,1788
0.0625,3
0.09375,3
1.5,3
1176,2
1.5,2
1176,1783
1176,29
1176,2
1,3
1176,4
1176,1773
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,1774
0.00390625,1774
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1176,2
588,2
18,3
1176,3
588,1764
588,4
0.0078125,2
0.00390625,1
0.00390625,1
588,1765
0.00390625,1765
0.00390625,1
0.00390625,1
588,1
