Tensor_id,ActiveTime,InactiveTime
0,2,1487
1,1488,1
3,2,1487
4,2,1487
6,3,1486
7,2,1487
8,1480,9
10,2,1487
11,3,1486
12,2,1487
13,3,1486
14,2,1487
15,1477,12
16,2,1487
17,1473,16
18,4,1485
19,2,1487
20,1471,18
22,3,1486
23,2,1487
24,2,1487
25,2,1487
26,1468,21
27,2,1487
28,1464,25
30,2,1487
31,3,1486
32,1462,27
33,2,1487
34,1461,28
35,9,1480
36,2,1487
37,2,1487
39,5,1484
40,2,1487
41,1450,39
43,4,1485
44,2,1487
45,2,1487
47,3,1486
48,3,1486
49,1444,45
51,4,1485
52,2,1487
53,1440,49
54,4,1485
55,2,1487
56,1437,52
58,5,1484
59,2,1487
60,1435,54
61,3,1486
62,1430,59
63,3,1486
64,8,1481
65,2,1487
67,3,1486
68,4,1485
69,2,1487
71,4,1485
72,2,1487
73,1422,67
74,38,1451
75,2,1487
76,2,1487
77,3,1486
78,2,1487
79,1419,70
80,2,1487
81,1415,74
82,4,1485
83,2,1487
84,1413,76
85,3,1486
86,2,1487
87,2,1487
88,2,1487
89,1410,79
90,2,1487
91,1406,83
92,2,1487
93,3,1486
94,1404,85
95,2,1487
96,1403,86
97,9,1480
98,2,1487
99,2,1487
101,5,1484
102,2,1487
103,1392,97
105,4,1485
106,2,1487
107,2,1487
109,3,1486
110,3,1486
111,1380,109
113,4,1485
114,2,1487
115,1384,105
117,5,1484
118,2,1487
119,2,1487
120,3,1486
121,1376,113
123,3,1486
124,2,1487
125,1373,116
126,9,1480
127,2,1487
128,1368,121
130,5,1484
131,2,1487
132,2,1487
134,4,1485
135,3,1486
136,2,1487
138,4,1485
139,2,1487
140,1360,129
141,41,1448
142,2,1487
143,2,1487
144,3,1486
145,2,1487
146,1357,132
147,2,1487
148,1353,136
149,4,1485
150,2,1487
151,1351,138
152,3,1486
153,2,1487
154,2,1487
155,2,1487
156,1348,141
157,2,1487
158,1344,145
159,2,1487
160,3,1486
161,1342,147
162,2,1487
163,1341,148
164,9,1480
165,2,1487
166,2,1487
168,5,1484
169,2,1487
170,1330,159
172,4,1485
173,2,1487
174,2,1487
176,3,1486
177,3,1486
178,1324,165
180,4,1485
181,2,1487
182,1320,169
183,4,1485
184,2,1487
185,1317,172
186,5,1484
187,2,1487
188,1315,174
189,3,1486
190,1310,179
191,3,1486
192,8,1481
193,2,1487
195,3,1486
196,4,1485
197,2,1487
199,4,1485
200,2,1487
201,1302,187
202,38,1451
203,2,1487
204,2,1487
205,3,1486
