Size_MB,Lifetime
18.375,2
147,1488
4.5,2
18.75,2
18.375,3
18.375,2
18.75,1480
18.75,2
18.75,3
0.0507812,2
18.75,3
18.75,2
0.0507812,1477
0.0507812,2
18.75,1473
18.75,4
18.75,2
18.75,1471
18.75,3
0.0507812,2
18.75,2
0.0507812,2
0.0507812,1468
0.0507812,2
0.0507812,1464
0.0507812,2
0.0507812,3
18.75,1462
0.0507812,2
18.75,1461
18.75,9
18.75,2
18.75,2
18.75,5
18.75,2
18.75,1450
18.75,4
18.75,2
56.25,2
18.75,3
1.6875,3
18.75,1444
56.25,4
56.25,2
14.6484,1440
18.75,4
18.75,2
14.6484,1437
14.6484,5
14.6484,2
14.6484,1435
14.6484,3
0.5625,1430
14.6484,3
18.75,8
18.75,2
18.75,3
0.5625,4
18.75,2
18.75,4
18.75,2
18.75,1422
18.75,38
18.75,2
0.0507812,2
18.75,3
18.75,2
0.0507812,1419
0.0507812,2
18.75,1415
18.75,4
18.75,2
18.75,1413
18.75,3
0.0507812,2
18.75,2
0.0507812,2
0.0507812,1410
0.0507812,2
0.0507812,1406
0.0507812,2
0.0507812,3
18.75,1404
0.0507812,2
18.75,1403
18.75,9
18.75,2
18.75,2
18.75,5
18.75,2
18.75,1392
18.75,4
18.75,2
75,2
18.75,3
2.25,3
75,1380
75,4
75,2
75,1384
75,5
75,2
75,2
75,3
75,1376
75,3
75,2
75,1373
75,9
75,2
75,1368
75,5
75,2
18.75,2
75,4
2.25,3
18.75,2
18.75,4
18.75,2
18.75,1360
18.75,41
18.75,2
0.0507812,2
18.75,3
18.75,2
0.0507812,1357
0.0507812,2
18.75,1353
18.75,4
18.75,2
18.75,1351
18.75,3
0.0507812,2
18.75,2
0.0507812,2
0.0507812,1348
0.0507812,2
0.0507812,1344
0.0507812,2
0.0507812,3
18.75,1342
0.0507812,2
18.75,1341
18.75,9
18.75,2
18.75,2
18.75,5
18.75,2
18.75,1330
18.75,4
18.75,2
56.25,2
18.75,3
1.6875,3
18.75,1324
56.25,4
56.25,2
14.6484,1320
18.75,4
18.75,2
14.6484,1317
14.6484,5
14.6484,2
14.6484,1315
14.6484,3
0.5625,1310
14.6484,3
18.75,8
18.75,2
18.75,3
0.5625,4
18.75,2
18.75,4
18.75,2
18.75,1302
18.75,38
18.75,2
0.0507812,2
18.75,3
18.75,2
0.0507812,1299
0.0507812,2
18.75,1295
18.75,4
18.75,2
18.75,1293
18.75,3
0.0507812,2
18.75,2
