Size_MB,Lifetime
75,2
75,822
75,38
75,2
0.195312,2
75,3
75,2
0.195312,819
0.195312,2
75,815
75,4
75,2
75,813
75,3
0.195312,2
75,2
0.195312,2
0.195312,810
0.195312,2
0.195312,806
0.195312,2
0.195312,3
75,804
0.195312,2
75,803
75,9
75,2
75,2
75,5
75,2
75,792
75,4
75,2
300,2
75,3
2.25,3
300,780
300,4
300,2
300,784
300,5
300,2
300,2
300,3
300,776
300,3
300,2
300,773
300,9
300,2
300,768
300,5
300,2
75,2
300,4
2.25,3
75,2
75,4
75,2
75,760
75,41
75,2
0.195312,2
75,3
75,2
0.195312,757
0.195312,2
75,753
75,4
75,2
75,751
75,3
0.195312,2
75,2
0.195312,2
0.195312,748
0.195312,2
0.195312,744
0.195312,2
0.195312,3
75,742
0.195312,2
75,741
75,9
75,2
75,2
75,5
75,2
75,730
75,4
75,2
225,2
75,3
1.6875,3
75,724
225,4
225,2
58.5938,720
75,4
75,2
58.5938,717
58.5938,5
58.5938,2
58.5938,715
58.5938,3
0.5625,710
58.5938,3
75,8
75,2
75,3
0.5625,4
75,2
75,4
75,2
75,702
75,38
75,2
0.195312,2
75,3
75,2
0.195312,699
0.195312,2
75,695
75,4
75,2
75,693
75,3
0.195312,2
75,2
0.195312,2
0.195312,690
0.195312,2
0.195312,686
0.195312,2
0.195312,3
75,684
0.195312,2
75,683
75,9
75,2
75,2
75,5
75,2
75,672
75,4
75,2
300,2
75,3
2.25,3
300,660
300,4
300,2
300,664
300,5
300,2
300,2
300,3
300,656
300,3
300,2
300,653
300,9
300,2
300,648
300,5
300,2
75,2
300,4
2.25,3
75,2
75,4
75,2
75,640
75,41
75,2
0.195312,2
75,3
75,2
0.195312,637
0.195312,2
75,633
75,4
75,2
75,631
75,3
0.195312,2
75,2
0.195312,2
0.195312,628
0.195312,2
0.195312,624
0.195312,2
0.195312,3
75,622
0.195312,2
75,621
75,9
75,2
75,2
75,5
75,2
75,610
75,4
75,2
225,2
75,3
1.6875,3
75,604
225,4
225,2
58.5938,600
75,4
75,2
58.5938,597
58.5938,5
58.5938,2
58.5938,595
58.5938,3
0.5625,590
58.5938,3
75,8
75,2
75,3
0.5625,4
75,2
75,4
75,2
75,582
75,38
75,2
0.195312,2
75,3
75,2
0.195312,579
0.195312,2
75,575
75,4
75,2
75,573
75,3
0.195312,2
75,2
0.195312,2
0.195312,570
0.195312,2
0.195312,566
0.195312,2
0.195312,3
75,564
0.195312,2
75,563
75,9
75,2
75,2
75,5
75,2
75,552
75,4
75,2
300,2
75,3
2.25,3
300,540
300,4
300,2
300,544
300,5
300,2
300,2
300,3
300,536
300,3
300,2
300,533
300,9
300,2
300,528
300,5
300,2
75,2
300,4
2.25,3
75,2
75,4
75,2
75,520
75,41
75,2
0.195312,2
75,3
75,2
0.195312,517
0.195312,2
75,513
75,4
75,2
75,511
75,3
0.195312,2
75,2
0.195312,2
0.195312,508
0.195312,2
0.195312,504
0.195312,2
0.195312,3
75,502
0.195312,2
75,501
75,9
75,2
75,2
75,5
75,2
75,490
75,4
75,2
225,2
75,3
1.6875,3
75,484
225,4
225,2
58.5938,480
75,4
75,2
58.5938,477
58.5938,5
58.5938,2
58.5938,475
58.5938,3
0.5625,470
58.5938,3
75,8
75,2
75,3
0.5625,4
75,2
75,4
75,2
75,462
75,38
75,2
0.195312,2
75,3
75,2
0.195312,459
0.195312,2
75,455
75,4
75,2
75,453
75,3
0.195312,2
75,2
0.195312,2
0.195312,450
0.195312,2
0.195312,446
0.195312,2
0.195312,3
75,444
0.195312,2
75,443
75,9
75,2
75,2
75,5
75,2
75,432
75,4
75,2
300,2
75,3
2.25,3
300,420
300,4
300,2
300,424
300,5
300,2
300,2
300,3
300,416
300,3
300,2
300,413
300,9
300,2
300,408
300,5
300,2
75,2
300,4
2.25,3
75,2
75,4
75,2
75,400
75,41
75,2
0.195312,2
75,3
75,2
0.195312,397
0.195312,2
75,393
75,4
75,2
75,391
75,3
0.195312,2
75,2
0.195312,2
0.195312,388
0.195312,2
0.195312,384
0.195312,2
0.195312,3
75,382
0.195312,2
75,381
75,9
75,2
75,2
75,5
75,2
75,370
75,4
75,2
225,2
75,3
1.6875,3
75,364
225,4
225,2
58.5938,360
75,4
75,2
58.5938,357
58.5938,5
58.5938,2
58.5938,355
58.5938,3
0.5625,350
58.5938,3
75,8
75,2
75,3
0.5625,4
75,2
75,4
75,2
75,342
75,38
75,2
0.195312,2
75,3
75,2
0.195312,339
0.195312,2
75,335
75,4
75,2
75,333
75,3
0.195312,2
75,2
0.195312,2
0.195312,330
0.195312,2
0.195312,326
0.195312,2
0.195312,3
75,324
0.195312,2
75,323
75,9
75,2
75,2
75,5
75,2
75,312
75,4
75,2
300,2
75,3
2.25,3
300,300
300,4
300,2
300,304
300,5
300,2
300,2
300,3
300,296
300,3
300,2
300,293
300,9
300,2
300,288
300,5
300,2
75,2
300,4
2.25,3
75,2
75,4
75,2
75,280
75,41
75,2
0.195312,2
75,3
75,2
0.195312,277
0.195312,2
75,273
75,4
75,2
75,271
75,3
0.195312,2
75,2
0.195312,2
0.195312,268
0.195312,2
0.195312,264
0.195312,2
0.195312,3
75,262
0.195312,2
75,261
75,9
75,2
75,2
75,5
75,2
75,250
75,4
75,2
225,2
75,3
1.6875,3
75,244
225,4
225,2
58.5938,240
75,4
75,2
58.5938,237
58.5938,5
58.5938,2
58.5938,235
58.5938,3
0.5625,230
58.5938,3
75,8
75,2
75,3
0.5625,4
75,2
75,4
75,2
75,222
75,38
75,2
0.195312,2
75,3
75,2
0.195312,219
0.195312,2
75,215
75,4
75,2
75,213
75,3
0.195312,2
75,2
0.195312,2
0.195312,210
0.195312,2
0.195312,206
0.195312,2
0.195312,3
75,204
0.195312,2
75,203
75,9
75,2
75,2
75,5
75,2
75,192
75,4
75,2
300,2
75,3
2.25,3
300,180
300,4
300,2
300,184
300,5
300,2
300,2
300,3
300,176
300,3
300,2
300,173
300,9
300,2
300,168
300,5
300,2
75,2
300,4
2.25,3
75,2
75,4
75,2
75,160
75,41
75,2
0.195312,2
75,3
75,2
0.195312,157
0.195312,2
75,153
75,4
75,2
75,151
75,3
0.195312,2
