Size_MB,Lifetime
294,2317
1568,2
0.0078125,3
294,1
1568,2312
1568,4
0.00390625,2
0.00390625,1
0.00390625,1
1568,2313
0.00390625,2313
0.00390625,1
0.00390625,1
1568,1
0.00390625,1
1568,2
1568,2
0.140625,3
1568,3
1568,2303
1568,4
0.00390625,2
0.00390625,1
0.00390625,1
1568,2304
0.00390625,2304
0.00390625,1
0.00390625,1
1568,1
0.00390625,1
1568,2
3136,2
0.28125,3
1568,3
3136,2294
3136,4
0.00390625,2
0.00390625,1
0.00390625,1
3136,2295
0.00390625,2295
0.00390625,1
0.00390625,1
3136,1
0.00390625,1
3136,2
784,2287
3136,2
784,2
0.0625,3
784,4
784,2282
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,2283
0.00390625,2283
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2
1568,2
1.125,3
784,3
1568,2273
1568,4
0.00390625,2
0.00390625,1
0.00390625,1
1568,2274
0.00390625,2274
0.00390625,1
0.00390625,1
1568,1
0.00390625,1
1568,2
1568,2
0.25,3
1568,3
1568,2264
1568,4
0.00390625,2
0.00390625,1
0.00390625,1
1568,2265
0.00390625,2265
0.00390625,1
0.00390625,1
1568,1
0.00390625,1
0.5,2260
1568,2
0.03125,2258
0.015625,3
0.5,3
0.03125,3
0.5,2252
0.015625,3
0.03125,3
0.5,3
1568,4
0.5,2
1568,2
0.125,3
784,30
1568,2
1568,4
0.00390625,2
0.00390625,1
0.00390625,1
1568,2242
0.00390625,2242
0.00390625,1
0.00390625,1
1568,1
0.00390625,1
1568,2240
1568,7
784,2
0.125,3
1568,4
784,2230
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,2231
0.00390625,2231
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2
1568,2
1.125,3
784,3
1568,2221
1568,4
0.00390625,2
0.00390625,1
0.00390625,1
1568,2222
0.00390625,2222
0.00390625,1
0.00390625,1
1568,1
0.00390625,1
1568,2
1568,2
0.25,3
1568,3
1568,2212
1568,4
0.00390625,2
0.00390625,1
0.00390625,1
1568,2213
0.00390625,2213
0.00390625,1
0.00390625,1
1568,1
0.00390625,1
0.5,2208
1568,2
0.03125,2206
0.015625,3
0.5,3
0.03125,3
0.5,2200
0.015625,3
0.03125,3
0.5,3
1568,2
0.5,2
1568,2195
1568,29
784,2
0.125,3
1568,4
784,2185
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,2186
0.00390625,2186
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2
1568,2
1.125,3
784,3
1568,2176
1568,4
0.00390625,2
0.00390625,1
0.00390625,1
1568,2177
0.00390625,2177
0.00390625,1
0.00390625,1
1568,1
0.00390625,1
1568,2
1568,2
0.25,3
1568,3
1568,2167
1568,4
0.00390625,2
0.00390625,1
0.00390625,1
1568,2168
0.00390625,2168
0.00390625,1
0.00390625,1
1568,1
0.00390625,1
0.5,2163
1568,2
0.03125,2161
0.015625,3
0.5,3
0.03125,3
0.5,2155
0.015625,3
0.03125,3
0.5,3
1568,2
0.5,2
1568,2150
1568,29
1568,2
0.25,3
1568,4
1568,2140
1568,4
0.00390625,2
0.00390625,1
0.00390625,1
1568,2141
0.00390625,2141
0.00390625,1
0.00390625,1
1568,1
0.00390625,1
1568,2
784,2
4.5,3
1568,3
784,2131
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,2132
0.00390625,2132
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2
784,2
1,3
784,3
784,2122
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,2123
0.00390625,2123
0.00390625,1
0.00390625,1
784,1
0.00390625,1
1,2118
784,2
0.0625,2116
0.0625,3
1,3
0.0625,3
1,2110
0.0625,3
0.0625,3
1,3
784,4
1,2
784,2
4.5,3
1568,30
784,2
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,2100
0.00390625,2100
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2098
784,7
392,2
0.5,3
784,4
392,2088
392,4
0.00390625,2
0.00390625,1
0.00390625,1
392,2089
0.00390625,2089
0.00390625,1
0.00390625,1
392,1
0.00390625,1
392,2
784,2
4.5,3
392,3
784,2079
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,2080
0.00390625,2080
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2
784,2
1,3
784,3
784,2070
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,2071
0.00390625,2071
0.00390625,1
0.00390625,1
784,1
0.00390625,1
1,2066
784,2
0.0625,2064
0.0625,3
1,3
0.0625,3
1,2058
0.0625,3
0.0625,3
1,3
784,2
1,2
784,2053
784,29
392,2
0.5,3
784,4
392,2043
392,4
0.00390625,2
0.00390625,1
0.00390625,1
392,2044
0.00390625,2044
0.00390625,1
0.00390625,1
392,1
0.00390625,1
392,2
784,2
4.5,3
392,3
784,2034
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,2035
0.00390625,2035
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2
784,2
1,3
784,3
784,2025
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,2026
0.00390625,2026
0.00390625,1
0.00390625,1
784,1
0.00390625,1
1,2021
784,2
0.0625,2019
0.0625,3
1,3
0.0625,3
1,2013
0.0625,3
0.0625,3
1,3
784,2
1,2
784,2008
784,29
392,2
0.5,3
784,4
392,1998
392,4
0.00390625,2
0.00390625,1
0.00390625,1
392,1999
0.00390625,1999
0.00390625,1
0.00390625,1
392,1
0.00390625,1
392,2
784,2
4.5,3
392,3
784,1989
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,1990
0.00390625,1990
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2
784,2
1,3
784,3
784,1980
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,1981
0.00390625,1981
0.00390625,1
0.00390625,1
784,1
0.00390625,1
1,1976
784,2
0.0625,1974
0.0625,3
1,3
0.0625,3
1,1968
0.0625,3
0.0625,3
1,3
784,2
1,2
784,1963
784,29
392,2
0.5,3
784,4
392,1953
392,4
0.00390625,2
0.00390625,1
0.00390625,1
392,1954
0.00390625,1954
0.00390625,1
0.00390625,1
392,1
0.00390625,1
392,2
784,2
4.5,3
392,3
784,1944
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,1945
0.00390625,1945
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2
784,2
1,3
784,3
784,1935
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,1936
0.00390625,1936
0.00390625,1
0.00390625,1
784,1
0.00390625,1
1,1931
784,2
0.0625,1929
0.0625,3
1,3
0.0625,3
1,1923
0.0625,3
0.0625,3
1,3
784,2
1,2
784,1918
784,29
392,2
0.5,3
784,4
392,1908
392,4
0.00390625,2
0.00390625,1
0.00390625,1
392,1909
0.00390625,1909
0.00390625,1
0.00390625,1
392,1
0.00390625,1
392,2
784,2
4.5,3
392,3
784,1899
784,4
0.00390625,2
